				8kHz						10kHz						13kHz						16kHz						20kHz						23kHz						26kHz						30kHz						
PInG	Trigger	L1 seed	Proposed dataset	L1 Rate (Unprescaled)	L1 Prescale	L1 Rate (Prescaled)	Unprescaled rate	HLT Prescale	Prescaled rate	L1 Rate (Unprescaled)	L1 Prescale	L1 Rate (Prescaled)	Unprescaled rate	HLT Prescale	Prescaled rate	L1 Rate (Unprescaled)	L1 Prescale	L1 Rate (Prescaled)	Unprescaled rate	HLT Prescale	Prescaled rate	L1 Rate (Unprescaled)	L1 Prescale	L1 Rate (Prescaled)	Unprescaled rate	HLT Prescale	Prescaled rate	L1 Rate (Unprescaled)	L1 Prescale	L1 Rate (Prescaled)	Unprescaled rate	HLT Prescale	Prescaled rate	L1 Rate (Unprescaled)	L1 Prescale	L1 Rate (Prescaled)	Unprescaled rate	HLT Prescale	Prescaled rate	L1 Rate (Unprescaled)	L1 Prescale	L1 Rate (Prescaled)	Unprescaled rate	HLT Prescale	Prescaled rate	L1 Rate (Unprescaled)	L1 Prescale	L1 Rate (Prescaled)	Unprescaled rate	HLT Prescale	Prescaled rate	EvtSize (KB)
	HLT_HIMinimumBias_part0_v1	L1_MinimumBiasHF1_AND_BptxAND	AAHIMinimumBiasN	8000	1	8000	8000	16	500	10000	1	10000	10000	20	500	13000	1	13000	13000	26	500	16000	1	16000	16000	32	500	20000	1	20000	20000	40	500	23000	2	11500	23000	23	500	26000	2	13000	26000	26	500	30000	2	15000	30000	30	500	1000
																																																				
																																																				
DiLepton	HLT_HIL1DoubleMuOpen_v1	L1_DoubleMuOpen_BptxAND	HIDoubleMuon	274.4	1	274.4	274.4	139	1.97	343	1	343	343	71	4.83	445.9	1	445.9	445.9	89	5.01011236	548.8	1	548.8	548.8	113	4.856637168	686	1	686	686	139	4.94	788.9	1	788.9	788.9	167	4.723952096	891.8	1	891.8	891.8	191	4.669109948	1029	1	1029	1029	211	4.88	3000
	HLT_HIL1DoubleMuOpen_OS_Centrality_40_100_v1	L1_DoubleMuOpen_Centrality_40_100_BptxAND	HIDoubleMuon	6.9	1	6.9152	6.9	1	6.92	8.6	1	8.644	8.6	1	8.64	11.2	1	11.2372	11.2	1	11.2372	13.8	1	13.8304	13.8	1	13.8304	17.3	1	17.288	17.3	1	17.29	19.9	1	19.8812	19.9	1	19.8812	22.5	1	22.4744	22.5	1	22.4744	25.9	1	25.932	25.9	1	25.93	300
	HLT_HIL1DoubleMuOpen_Centrality_50_100_v1	L1_DoubleMuOpen_Centrality_50_100_BptxAND	HIDoubleMuon	3.7	1	3.68	3.7	1	3.68	4.6	1	4.6	4.6	1	4.6	6	1	5.98	6	1	5.98	7.4	1	7.36	7.4	1	7.36	9.2	1	9.2	9.2	1	9.2	10.6	1	10.58	10.6	1	10.58	12	1	11.96	12	1	11.96	13.8	1	13.8	13.8	1	13.8	220
	HLT_HIL1DoubleMu10_v1	L1_DoubleMu10_BptxAND	HIDoubleMuon	0.2	1	0.208	0.2	1	0.21	0.3	1	0.26	0.3	1	0.26	0.3	1	0.338	0.3	1	0.338	0.4	1	0.416	0.4	1	0.416	0.5	1	0.52	0.5	1	0.52	0.6	1	0.598	0.6	1	0.598	0.7	1	0.676	0.7	1	0.676	0.8	1	0.78	0.8	1	0.78	3000
	HLT_HIL2_L1DoubleMu10_v1	L1_DoubleMu10_BptxAND	HIDoubleMuon	0.2	1	0.208	0.2	1	0.19	0.3	1	0.26	0.2	1	0.24	0.3	1	0.338	0.3	1	0.312	0.4	1	0.416	0.4	1	0.384	0.5	1	0.52	0.5	1	0.48	0.6	1	0.598	0.6	1	0.552	0.7	1	0.676	0.6	1	0.624	0.8	1	0.78	0.7	1	0.72	3000
	HLT_HIL3_L1DoubleMu10_v1	L1_DoubleMu10_BptxAND	HIDoubleMuon	0.2	1	0.208	0.2	1	0.19	0.3	1	0.26	0.2	1	0.24	0.3	1	0.338	0.3	1	0.312	0.4	1	0.416	0.4	1	0.384	0.5	1	0.52	0.5	1	0.48	0.6	1	0.598	0.6	1	0.552	0.7	1	0.676	0.6	1	0.624	0.8	1	0.78	0.7	1	0.72	3000
